Gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
PPP1R13B,-0.7927477,0.19838887,0.12291081,-0.18610929,-0.12899792,0.11386442,0.40471572,0.0950644,0.33190247,0.09660385,0.13318846,0.07682606,-0.02827996,0.5056032,0.30267173,0.7315013,-0.6540938,0.8326521,-0.271812,0.03418523,0.22844127,0.45902556,0.2779401,0.47291964,-0.4319372,0.18713346,-0.0013962765,-0.08353551,-0.13556978,0.182273,0.55636513,0.57781124,0.05713713,0.38206223,-0.26217538,0.67094624,0.32317546,0.32177234,0.041047234,-0.55773556,0.194527,0.7103679,0.6497481,-0.20597777,0.27889,-0.18166688,-0.048764426,0.40026748,0.1223241,-0.07871717,0.22989158,0.26271972,-0.13929938,0.35315734,0.28601497,0.65657574,0.14866257,-0.5769998,0.30619556,0.092383824,0.0060225874,0.051528722,0.34357047,0.028324455
PPP3R1,-0.8626263,0.18377736,0.1090191,-0.19453469,-0.14619464,0.14509875,0.41301334,0.10048597,0.32916886,0.11426419,0.11284745,0.13516608,-0.03239204,0.5443176,0.3092913,0.74374896,-0.6995658,0.88018966,-0.28938997,0.052217327,0.2766997,0.4953672,0.2942429,0.51855147,-0.4635047,0.18546137,-0.0029736296,-0.105415486,-0.14752871,0.18139738,0.56437373,0.6323345,0.05582486,0.39944148,-0.2994569,0.7111125,0.35102156,0.3399604,0.04232189,-0.5948299,0.22114168,0.7146572,0.6750049,-0.21954425,0.31610724,-0.17828876,-0.049119,0.4077512,0.10340261,-0.08621051,0.2593927,0.27977338,-0.13731521,0.35461253,0.29550177,0.67002857,0.16519432,-0.63352245,0.35197645,0.09315822,-0.0039045233,0.054587543,0.35300472,0.03253208
SEPT4,-0.7927477,0.19838887,0.12291081,-0.18610929,-0.12899792,0.11386442,0.40471572,0.0950644,0.33190247,0.09660385,0.13318846,0.07682606,-0.02827996,0.5056032,0.30267173,0.7315013,-0.6540938,0.8326521,-0.271812,0.03418523,0.22844127,0.45902556,0.2779401,0.47291964,-0.4319372,0.18713346,-0.0013962765,-0.08353551,-0.13556978,0.182273,0.55636513,0.57781124,0.05713713,0.38206223,-0.26217538,0.67094624,0.32317546,0.32177234,0.041047234,-0.55773556,0.194527,0.7103679,0.6497481,-0.20597777,0.27889,-0.18166688,-0.048764426,0.40026748,0.1223241,-0.07871717,0.22989158,0.26271972,-0.13929938,0.35315734,0.28601497,0.65657574,0.14866257,-0.5769998,0.30619556,0.092383824,0.0060225874,0.051528722,0.34357047,0.028324455
SFN,-0.8192858,0.14882135,0.112974495,-0.18788713,-0.11507076,0.15948585,0.4096192,0.10206805,0.28350914,0.10138091,0.07852251,0.1916419,-0.026794307,0.44098276,0.22786191,0.69723904,-0.67077655,0.829489,-0.28013593,0.039814994,0.25127193,0.47600824,0.23876402,0.47829086,-0.44623345,0.13367176,-0.0011038543,-0.09107545,-0.14074619,0.18154874,0.47602382,0.6315893,0.057677664,0.3690925,-0.2732273,0.68653554,0.33317792,0.32557717,0.04258839,-0.57092655,0.20195578,0.59215724,0.6200235,-0.20721889,0.31352678,-0.14319775,-0.0495753,0.4533924,0.074568816,-0.11019872,0.2364545,0.2694075,-0.13950759,0.3611616,0.28424093,0.63788486,0.10161876,-0.5957884,0.3329062,0.09339458,0.0026221792,0.044503868,0.34391078,0.036958978
TFDP2,-0.7927477,0.19838887,0.12291081,-0.18610929,-0.12899792,0.11386442,0.40471572,0.0950644,0.33190247,0.09660385,0.13318846,0.07682606,-0.02827996,0.5056032,0.30267173,0.7315013,-0.6540938,0.8326521,-0.271812,0.03418523,0.22844127,0.45902556,0.2779401,0.47291964,-0.4319372,0.18713346,-0.0013962765,-0.08353551,-0.13556978,0.182273,0.55636513,0.57781124,0.05713713,0.38206223,-0.26217538,0.67094624,0.32317546,0.32177234,0.041047234,-0.55773556,0.194527,0.7103679,0.6497481,-0.20597777,0.27889,-0.18166688,-0.048764426,0.40026748,0.1223241,-0.07871717,0.22989158,0.26271972,-0.13929938,0.35315734,0.28601497,0.65657574,0.14866257,-0.5769998,0.30619556,0.092383824,0.0060225874,0.051528722,0.34357047,0.028324455
TP53BP2,-0.7927477,0.19838887,0.12291081,-0.18610929,-0.12899792,0.11386442,0.40471572,0.0950644,0.33190247,0.09660385,0.13318846,0.07682606,-0.02827996,0.5056032,0.30267173,0.7315013,-0.6540938,0.8326521,-0.271812,0.03418523,0.22844127,0.45902556,0.2779401,0.47291964,-0.4319372,0.18713346,-0.0013962765,-0.08353551,-0.13556978,0.182273,0.55636513,0.57781124,0.05713713,0.38206223,-0.26217538,0.67094624,0.32317546,0.32177234,0.041047234,-0.55773556,0.194527,0.7103679,0.6497481,-0.20597777,0.27889,-0.18166688,-0.048764426,0.40026748,0.1223241,-0.07871717,0.22989158,0.26271972,-0.13929938,0.35315734,0.28601497,0.65657574,0.14866257,-0.5769998,0.30619556,0.092383824,0.0060225874,0.051528722,0.34357047,0.028324455
TP63,-0.8622634,0.25778085,0.11270359,-0.19512494,-0.17500389,0.09033062,0.41294876,0.099232,0.40285853,0.11492925,0.18747091,0.045212023,-0.04090908,0.6660591,0.43391523,0.86166763,-0.7007857,0.9097734,-0.28768918,0.051611297,0.26073703,0.49439695,0.3617152,0.53401655,-0.46407962,0.26701617,-0.0031011077,-0.10670157,-0.14809746,0.1825577,0.68820655,0.57632613,0.05602914,0.43000922,-0.29996046,0.710659,0.35191774,0.33985302,0.041652147,-0.55982685,0.22242403,0.9023646,0.7375469,-0.2244728,0.28246474,-0.24251649,-0.049624912,0.33006737,0.17040741,-0.03766586,0.265063,0.28047466,-0.13796087,0.33726278,0.30525798,0.7055573,0.24988748,-0.6332981,0.33484215,0.09254494,-0.0049467385,0.06538692,0.35679775,0.013181075
TP73,-0.8192858,0.14882135,0.112974495,-0.18788713,-0.11507076,0.15948585,0.4096192,0.10206805,0.28350914,0.10138091,0.07852251,0.1916419,-0.026794307,0.44098276,0.22786191,0.69723904,-0.67077655,0.829489,-0.28013593,0.039814994,0.25127193,0.47600824,0.23876402,0.47829086,-0.44623345,0.13367176,-0.0011038543,-0.09107545,-0.14074619,0.18154874,0.47602382,0.6315893,0.057677664,0.3690925,-0.2732273,0.68653554,0.33317792,0.32557717,0.04258839,-0.57092655,0.20195578,0.59215724,0.6200235,-0.20721889,0.31352678,-0.14319775,-0.0495753,0.4533924,0.074568816,-0.11019872,0.2364545,0.2694075,-0.13950759,0.3611616,0.28424093,0.63788486,0.10161876,-0.5957884,0.3329062,0.09339458,0.0026221792,0.044503868,0.34391078,0.036958978
UACA,-0.8622634,0.25778085,0.11270359,-0.19512494,-0.17500389,0.09033062,0.41294876,0.099232,0.40285853,0.11492925,0.18747091,0.045212023,-0.04090908,0.6660591,0.43391523,0.86166763,-0.7007857,0.9097734,-0.28768918,0.051611297,0.26073703,0.49439695,0.3617152,0.53401655,-0.46407962,0.26701617,-0.0031011077,-0.10670157,-0.14809746,0.1825577,0.68820655,0.57632613,0.05602914,0.43000922,-0.29996046,0.710659,0.35191774,0.33985302,0.041652147,-0.55982685,0.22242403,0.9023646,0.7375469,-0.2244728,0.28246474,-0.24251649,-0.049624912,0.33006737,0.17040741,-0.03766586,0.265063,0.28047466,-0.13796087,0.33726278,0.30525798,0.7055573,0.24988748,-0.6332981,0.33484215,0.09254494,-0.0049467385,0.06538692,0.35679775,0.013181075
XIAP,-0.852312,0.121900894,0.10612202,-0.19262628,-0.11832504,0.18611668,0.41217512,0.11399395,0.26418376,0.11084783,0.050590113,0.25513387,-0.025683895,0.43044913,0.19968827,0.7221423,-0.6917082,0.8454436,-0.28810817,0.06384376,0.27923015,0.5129796,0.23094782,0.4951088,-0.45844173,0.11243594,-0.0024131048,-0.10108248,-0.14539129,0.18080398,0.4515808,0.670611,0.056315724,0.36945134,-0.29251683,0.7053527,0.3459828,0.336612,0.042995337,-0.5899328,0.21558239,0.54858226,0.61610496,-0.21387067,0.34302318,-0.12540963,-0.04888341,0.475259,0.047522746,-0.12680398,0.24900557,0.27664277,-0.13739052,0.36721277,0.28480387,0.6353883,0.08750287,-0.6242904,0.35769588,0.09379535,-0.0015095671,0.042266756,0.34605008,0.04564251
