Gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
MAPK8,-0.43932837,-0.17601308,-0.25298184,-0.20700073,-0.56154686,0.026759462,-0.4559154,-0.6516855,0.10029261,0.092772834,0.1499787,-0.068155095,-0.04591859,0.73896575,0.27594486,0.3382517,-0.09617631,0.27988356,-0.15540816,0.25836885,0.70368934,0.22540028,0.48111063,0.22849046,-0.12961666,-0.0030124132,-0.107072756,-0.07928267,0.278937,-0.2855688,0.2582476,0.21119153,-0.4345252,0.0062828157,-0.59774154,-0.20054789,0.60821825,0.27594543,-0.2877215,0.22606598,0.21027736,0.29433694,0.4882082,0.020149726,0.2136555,0.20960842,-0.1838382,-0.23204125,-0.27593452,0.11528387,0.42331505,0.025749138,0.07893775,-0.3082971,-0.07468442,-0.10513067,0.60174817,-0.57370305,0.32326266,-0.08532864,-0.43810734,0.083869606,-0.13997298,0.22127491
NMT1,-0.43540952,-0.16739479,-0.2493887,-0.2067563,-0.5486022,0.026593758,-0.44481167,-0.64236474,0.10012819,0.08984986,0.1535429,-0.08148445,-0.047397092,0.7230334,0.2740171,0.34684607,-0.096260846,0.27317467,-0.14908376,0.25573033,0.67549837,0.21971636,0.47374618,0.21466859,-0.12503923,-0.000918502,-0.101762414,-0.07773602,0.27634165,-0.2791737,0.251038,0.19558096,-0.4237644,0.004364798,-0.58470535,-0.19621956,0.6047963,0.2749519,-0.28313494,0.23006542,0.20594086,0.2990037,0.4806364,0.017794643,0.1935405,0.19540246,-0.18102193,-0.22555119,-0.26999587,0.11541954,0.40986758,0.02361097,0.07595984,-0.30753672,-0.07694968,-0.10469791,0.5864643,-0.56124115,0.306202,-0.08042153,-0.42727113,0.078248575,-0.14170355,0.20794186
PMAIP1,-0.4090141,-0.2105785,-0.17709309,-0.2045876,-0.40654662,0.04357545,-0.36919767,-0.4438072,-0.005925294,0.069251835,0.072353676,0.08714829,-0.05318279,0.46379268,0.09043011,0.2285195,-0.095336154,0.26143217,-0.107759364,0.32867366,0.56345946,0.29380852,0.3345528,0.14009203,-0.09163161,-0.04255458,-0.06572093,-0.06585297,0.25903553,-0.23601663,0.111019745,0.23345906,-0.3512367,-0.055178605,-0.4975101,-0.16647725,0.37383068,0.28060094,-0.25148803,0.017385663,0.17547134,0.07075935,0.3267466,0.033220578,0.12255436,0.22370012,-0.062426046,-0.045476824,-0.30167264,0.04947704,0.28068465,0.0068356767,0.056583937,-0.22491533,-0.08436341,-0.09961137,0.3829239,-0.4776376,0.2434076,-0.04678692,-0.35290658,0.043143913,-0.101971686,0.20855033
PPP1R13B,-0.4090141,-0.2105785,-0.17709309,-0.2045876,-0.40654662,0.04357545,-0.36919767,-0.4438072,-0.005925294,0.069251835,0.072353676,0.08714829,-0.05318279,0.46379268,0.09043011,0.2285195,-0.095336154,0.26143217,-0.107759364,0.32867366,0.56345946,0.29380852,0.3345528,0.14009203,-0.09163161,-0.04255458,-0.06572093,-0.06585297,0.25903553,-0.23601663,0.111019745,0.23345906,-0.3512367,-0.055178605,-0.4975101,-0.16647725,0.37383068,0.28060094,-0.25148803,0.017385663,0.17547134,0.07075935,0.3267466,0.033220578,0.12255436,0.22370012,-0.062426046,-0.045476824,-0.30167264,0.04947704,0.28068465,0.0068356767,0.056583937,-0.22491533,-0.08436341,-0.09961137,0.3829239,-0.4776376,0.2434076,-0.04678692,-0.35290658,0.043143913,-0.101971686,0.20855033
PPP3R1,-0.4295505,-0.24772862,-0.21839371,-0.20463373,-0.48478955,0.072311975,-0.43372038,-0.50416756,-0.009116348,0.08324359,0.050644103,0.12228278,-0.0667071,0.5472642,0.11398436,0.27665594,-0.09096429,0.30269778,-0.14809756,0.35579127,0.6804037,0.32028902,0.3554065,0.19053106,-0.12651259,-0.0706576,-0.09998928,-0.07188614,0.27006894,-0.27140388,0.12103738,0.2905438,-0.41353458,-0.051691614,-0.57538044,-0.19121762,0.41483718,0.28307745,-0.2770838,0.014698492,0.19738492,0.034475826,0.36378404,0.03008284,0.18951319,0.26350045,-0.08254533,-0.090484455,-0.33769983,0.059361495,0.33646452,0.020616842,0.07052684,-0.25130758,-0.080334224,-0.10624498,0.45949686,-0.5495898,0.31464726,-0.075876124,-0.41609943,0.046966687,-0.12115535,0.24874958
SEPT4,-0.4090141,-0.2105785,-0.17709309,-0.2045876,-0.40654662,0.04357545,-0.36919767,-0.4438072,-0.005925294,0.069251835,0.072353676,0.08714829,-0.05318279,0.46379268,0.09043011,0.2285195,-0.095336154,0.26143217,-0.107759364,0.32867366,0.56345946,0.29380852,0.3345528,0.14009203,-0.09163161,-0.04255458,-0.06572093,-0.06585297,0.25903553,-0.23601663,0.111019745,0.23345906,-0.3512367,-0.055178605,-0.4975101,-0.16647725,0.37383068,0.28060094,-0.25148803,0.017385663,0.17547134,0.07075935,0.3267466,0.033220578,0.12255436,0.22370012,-0.062426046,-0.045476824,-0.30167264,0.04947704,0.28068465,0.0068356767,0.056583937,-0.22491533,-0.08436341,-0.09961137,0.3829239,-0.4776376,0.2434076,-0.04678692,-0.35290658,0.043143913,-0.101971686,0.20855033
SFN,-0.4101172,-0.27399337,-0.19146091,-0.1997318,-0.4103173,0.0860025,-0.39550704,-0.3622004,-0.07398862,0.0646613,-0.010278087,0.22646017,-0.092875205,0.39693785,0.015025873,0.24837369,-0.07953744,0.31154203,-0.13743801,0.40474367,0.61681294,0.3978758,0.25331607,0.1457335,-0.12906303,-0.10902234,-0.09176104,-0.057885822,0.24951437,-0.24531472,0.015591573,0.31481498,-0.37669134,-0.08076186,-0.5411953,-0.1747842,0.31365684,0.26939216,-0.2583245,-0.09557048,0.17429045,-0.13317555,0.26786935,0.036516417,0.14522076,0.2688923,-0.008887216,0.016693102,-0.3553874,0.02893924,0.2563951,0.012740804,0.051855955,-0.21153161,-0.08378493,-0.10345358,0.3435852,-0.5073214,0.28359827,-0.061672077,-0.37873548,0.015606835,-0.11472225,0.24622813
TFDP2,-0.4090141,-0.2105785,-0.17709309,-0.2045876,-0.40654662,0.04357545,-0.36919767,-0.4438072,-0.005925294,0.069251835,0.072353676,0.08714829,-0.05318279,0.46379268,0.09043011,0.2285195,-0.095336154,0.26143217,-0.107759364,0.32867366,0.56345946,0.29380852,0.3345528,0.14009203,-0.09163161,-0.04255458,-0.06572093,-0.06585297,0.25903553,-0.23601663,0.111019745,0.23345906,-0.3512367,-0.055178605,-0.4975101,-0.16647725,0.37383068,0.28060094,-0.25148803,0.017385663,0.17547134,0.07075935,0.3267466,0.033220578,0.12255436,0.22370012,-0.062426046,-0.045476824,-0.30167264,0.04947704,0.28068465,0.0068356767,0.056583937,-0.22491533,-0.08436341,-0.09961137,0.3829239,-0.4776376,0.2434076,-0.04678692,-0.35290658,0.043143913,-0.101971686,0.20855033
TP53BP2,-0.4090141,-0.2105785,-0.17709309,-0.2045876,-0.40654662,0.04357545,-0.36919767,-0.4438072,-0.005925294,0.069251835,0.072353676,0.08714829,-0.05318279,0.46379268,0.09043011,0.2285195,-0.095336154,0.26143217,-0.107759364,0.32867366,0.56345946,0.29380852,0.3345528,0.14009203,-0.09163161,-0.04255458,-0.06572093,-0.06585297,0.25903553,-0.23601663,0.111019745,0.23345906,-0.3512367,-0.055178605,-0.4975101,-0.16647725,0.37383068,0.28060094,-0.25148803,0.017385663,0.17547134,0.07075935,0.3267466,0.033220578,0.12255436,0.22370012,-0.062426046,-0.045476824,-0.30167264,0.04947704,0.28068465,0.0068356767,0.056583937,-0.22491533,-0.08436341,-0.09961137,0.3829239,-0.4776376,0.2434076,-0.04678692,-0.35290658,0.043143913,-0.101971686,0.20855033
TP63,-0.43553013,-0.16753587,-0.24910212,-0.20685099,-0.54848653,0.026834106,-0.44474643,-0.64255035,0.10004328,0.09005405,0.15371315,-0.08143599,-0.04691355,0.72291636,0.27367842,0.3467143,-0.09650867,0.2729244,-0.14880443,0.2558928,0.67554414,0.21942769,0.47413385,0.21468243,-0.12449661,-0.000779802,-0.10151586,-0.07793103,0.2765849,-0.27924874,0.25139755,0.19565499,-0.42372024,0.004195461,-0.58448684,-0.19623825,0.60466015,0.27538952,-0.28316998,0.22985326,0.2061479,0.29948822,0.480732,0.017809127,0.1936122,0.19570173,-0.18092869,-0.22535682,-0.27017498,0.11514277,0.40993226,0.02355227,0.07615954,-0.3073514,-0.077015884,-0.10472134,0.5863113,-0.5611995,0.30608678,-0.080347516,-0.42721534,0.078387216,-0.14141747,0.20802566
